斜紋夜蛾,斜紋夜盜蟲,黑蟲,行軍蟲,黑肚蟲,夜盜蟲
銹病,,,,,
負泥蟲,揹屎蟲,,,,
神澤氏葉螨,,,,,
二點葉螨,,,,,
柑橘窄胸天牛,,,,,
芽疫病,,,,,
裾腐病,,,,,
褐腐病,滾水病,水菇病,水傷,,
蒂腐病,,,,,
果斑病,,,,,
細螨,,,,,
柑桔銹螨,銹壁蝨,,,,
葉鞘腐敗病,,,,,
油斑病,,,,,
潛葉蛾,,,,,
徒長病,稻公,馬鹿苗病,揚旗,,
南瓜捲葉病毒,,,,,
瓜類退綠黃化病毒,,,,,
灰黴病,,,,,
介殼蟲,,,,,
枝枯病,,,,,
荔枝癭蚋,,,,,
荔枝葉螨,,,,,
柑橘赤葉螨,,,,,
黑條萎縮病,,,,,
蛾類,,,,,
秀粉介殼蟲,,,,,
黑煤病,,,,,
竹盲椿象,,,,,
蔥薊馬,,,,,
黃條葉蚤,跳仔,黃龜仔,黑龜仔,硬殼龜仔,黑龜跳仔
果實蠅,,,,,
菌核病,,,,,
番茄夜蛾,,,,,
葉蟬,浮塵子,,,,
銹螨,,,,,
茶細螨,,,,,
太平洋臀紋粉介殼蟲,,,,,
黑點根腐病,,,,,
黃龍病,,,,,
紋白蝶,大青蟲,斑潛蠅,,,
番茄斑潛蠅,,,,,
夜蛾類,,,,,
青枯病,,,,,
番茄病毒病,,,,,
南黃薊馬,,,,,
象鼻蟲,,,,,
萎凋病,蔓割病,,,,
赤銹病,,,,,
一點螟,,,,,
玉米螟,,,,,
蔥潛蠅,,,,,
小菜蛾,,,,,
腹鉤薊馬,,,,,
立枯病,,,,,
苗立枯病,,,,,
線蟲白尖病,,,,,
根瘤線蟲,,,,,
白輪盾介殼蟲,,,,,
螞蟻,,,,,
蝦殼天蛾,白薯天蛾,,,,
縮芽病,,,,,
軸腐病,,,,,
亞洲潛葉蠅,,,,,
地中海果實蠅,,,,,
紅火蟻,,,,,
番茄潛旋蛾,,,,,
嵌紋病,,,,,
萎縮病,,,,,
棉蚜,,,,,
蕉蚜,,,,,
蝶蛾類,,,,,
粉蝨類,,,,,
椿象類,,,,,
豆花薊馬,,,,,
臺灣花薊馬,,,,,
細蛾類,細蛾,,,,
蚇蠖蛾類,,,,,
毒蛾類,,,,,
白絹病菌,,,,,
立枯絲核菌,,,,,
水銹病,,,,,
假莖象鼻蟲,,,,,
球莖象鼻蟲,,,,,
黍蚜,,,,,
桃蚜,,,,,
琉璃蟻,臺灣本土黑螞蟻,,,,
疣胸琉璃蟻,,,,,
水銹斑,水銹條紋,水銹條斑,,,
成熟斑,,,,,
節稻熱病,,,,,
藻斑病,,,,,
毒素病,,,,,
莖潛蠅,,,,,
葉潛蠅,,,,,
根潛蠅,,,,,
豆莢螟,,,,,
綠椿象,,,,,
小綠葉蟬,,,,,
潛蠅類,,,,,
赤葉螨,,,,,
柑桔葉螨,,,,,
姬黃薊馬,,,,,
猝倒病,,,,,
路易氏始葉螨,,,,,
大螟,,,,,
褐根病,,,,,
